squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
75523,3,0,1.0,63.0,9373,3.0,8,2005.0,0.0,1,4313,9005.0,956.0,0,,7559081.5
80771,39,1,1.0,98.0,39381,8.0,6,2015.0,1.0,0,3653,2436.0,128.0,1,2.0,8085989.5
55712,58,0,1.0,19.0,34457,6.0,8,2021.0,0.0,0,2937,8852.0,135.0,1,,5574642.1
32316,47,0,0.0,6.0,27939,10.0,4,2012.0,,1,659,7141.0,359.0,0,,3232561.2
70429,19,1,1.0,90.0,38045,,7,1990.0,1.0,0,8435,2429.0,292.0,1,,7055052.0
39223,36,0,1.0,17.0,39489,8.0,6,,0.0,1,2009,4552.0,757.0,0,1.0,3926647.2
58682,10,1,1.0,99.0,6450,,9,,1.0,1,5930,9453.0,848.0,0,,5876376.5
86929,100,1,0.0,11.0,98155,3.0,4,2003.0,1.0,0,6326,4748.0,654.0,0,10.0,8696869.3
51522,3,0,0.0,61.0,9047,8.0,3,,,1,632,5792.0,807.0,1,,5154055.2
39686,42,0,0.0,15.0,71019,5.0,8,2021.0,1.0,1,5198,5342.0,591.0,1,3.0,3970892.1
23563,21,0,1.0,90.0,91058,6.0,8,1993.0,1.0,0,703,852.0,684.0,1,,2366397.3
96470,74,1,0.0,21.0,92029,,2,2011.0,,1,5414,1172.0,716.0,1,,9652258.1
19127,31,1,0.0,5.0,7475,2.0,9,2008.0,0.0,0,5387,4430.0,374.0,0,4.0,1914688.8
13087,44,1,0.0,77.0,40475,8.0,4,2004.0,1.0,0,1745,724.0,582.0,0,0.0,1320803.4
79770,3,0,1.0,69.0,54812,10.0,5,2018.0,,1,8871,7117.0,240.0,0,7.0,7986665.8
75985,60,1,0.0,67.0,6517,6.0,9,2009.0,1.0,1,4878,281.0,384.0,1,,7607322.9
64169,88,0,1.0,6.0,61711,3.0,9,2011.0,1.0,1,3054,129.0,726.0,0,9.0,6420823.1
99371,31,1,1.0,16.0,96297,,8,2013.0,,1,3258,6296.0,354.0,1,8.0,9944705.3
25966,37,1,1.0,17.0,22818,3.0,1,2016.0,,0,8257,2557.0,162.0,0,6.0,2604486.6
41792,43,1,1.0,10.0,80768,9.0,5,2017.0,1.0,1,2950,9573.0,572.0,1,,4187667.7
28795,64,1,1.0,50.0,97667,3.0,4,2009.0,1.0,1,9862,2666.0,330.0,1,0.0,2888047.9
92383,12,0,0.0,78.0,71982,3.0,7,2000.0,,0,7507,9056.0,892.0,1,,9244344.0
33279,64,1,0.0,65.0,91690,3.0,2,2019.0,1.0,1,2427,,732.0,0,,3333351.9
34782,47,0,0.0,73.0,35331,1.0,4,2020.0,0.0,1,9586,6604.0,822.0,0,2.0,3482594.0
13386,51,0,0.0,90.0,87978,4.0,6,1993.0,,0,2885,1149.0,904.0,1,4.0,1342509.3
